model_id,maker_id,model,model_year
1,12,500,2017
2,34,918,2015
3,6,330E,2023
4,12,500E,2024
5,6,530E,2019
6,6,550E,2025
7,6,740E,2018
8,6,745E,2021
9,6,745LE,2022
10,6,750E,2024
11,3,A3,2017
12,3,A7 E,2021
13,3,A8 E,2020
14,17,ACCORD,2014
15,26,AIR,2023
16,28,AMG GT,2025
17,32,ARIYA,2024
18,25,AVIATOR,2020
19,28,B-CLASS,2015
20,5,BENTAYGA,2024
21,9,BLAZER EV,2024
22,9,BOLT EUV,2022
23,9,BOLT EV,2020
24,9,BRIGHTDROP 400,2025
25,42,BZ4X,2023
26,45,C40,2023
27,34,CAYENNE,2017
28,28,C-CLASS,2016
29,11,CHARGER,2024
30,41,CITY,2011
31,17,CLARITY,2020
32,14,C-MAX,2014
33,25,CORSAIR,2023
34,29,COUNTRYMAN,2023
35,39,CROSSTREK,2019
36,8,CT6,2018
37,27,CX-70,2025
38,27,CX-90,2024
39,40,CYBERTRUCK,2024
40,36,EDV,2022
41,44,E-GOLF,2019
42,8,ELR,2016
43,38,EQ FORTWO,2018
44,28,EQB-CLASS,2023
45,28,EQE-CLASS SEDAN,2024
46,28,EQE-CLASS SUV,2023
47,28,EQS-CLASS SEDAN,2022
48,28,EQS-CLASS SUV,2024
49,9,EQUINOX EV,2024
50,14,ESCAPE,2022
51,28,ESPRINTER,2024
52,3,E-TRON,2019
53,3,E-TRON GT,2022
54,3,E-TRON SPORTBACK,2022
55,21,EV6,2022
56,21,EV9,2024
57,45,EX30,2025
58,45,EX40,2025
59,45,EX90,2025
60,14,F-150,2023
61,5,FLYING SPUR,2022
62,14,FOCUS,2016
63,38,FORTWO,2017
64,38,FORTWO ELECTRIC DRIVE,2013
65,14,FUSION,2016
66,15,G80,2023
67,28,G-CLASS,2025
68,28,GLC-CLASS,2019
69,28,GLE-CLASS,2017
70,20,GRAND CHEROKEE,2023
71,15,GV60,2023
72,15,GV70,2025
73,29,HARDTOP,2021
74,11,HORNET,2024
75,16,HUMMER EV PICKUP,2025
76,16,HUMMER EV SUV,2025
77,6,I3,2016
78,6,I4,2024
79,6,I5,2025
80,6,I7,2024
81,6,I8,2017
82,44,ID. BUZZ,2025
83,44,ID.4,2023
84,30,I-MIEV,2012
85,18,IONIQ,2020
86,18,IONIQ 5,2023
87,18,IONIQ 5 N,2025
88,18,IONIQ 6,2024
89,19,I-PACE,2019
90,6,IX,2022
91,13,KARMA,2012
92,18,KONA,2020
93,18,KONA ELECTRIC,2021
94,32,LEAF,2014
95,8,LYRIQ,2024
96,6,M5,2025
97,34,MACAN,2025
98,42,MIRAI,2023
99,40,MODEL 3,2022
100,40,MODEL S,2013
101,40,MODEL X,2020
102,40,MODEL Y,2025
103,14,MUSTANG MACH-E,2021
104,27,MX-30,2023
105,21,NIRO,2019
106,24,NX,2022
107,13,OCEAN,2023
108,31,ONE,2024
109,21,OPTIMA,2018
110,8,OPTIQ,2025
111,30,OUTLANDER,2021
112,10,PACIFICA,2021
113,34,PANAMERA,2019
114,33,POLESTAR 3,2025
115,42,PRIUS PLUG-IN,2015
116,42,PRIUS PRIME,2017
117,17,PROLOGUE,2024
118,35,PROMASTER 3500,2024
119,33,PS2,2021
120,3,Q4,2023
121,3,Q5,2022
122,3,Q5 E,2025
123,3,Q6,2025
124,3,Q8,2024
125,36,R1S,2025
126,36,R1T,2022
127,23,RANGE ROVER,2025
128,23,RANGE ROVER SPORT,2023
129,14,RANGER,2000
130,42,RAV4,2013
131,42,RAV4 PRIME,2024
132,22,REVUELTO,2024
133,40,ROADSTER,2010
134,3,RS E-TRON GT,2024
135,24,RX,2024
136,24,RZ,2023
137,45,S60,2022
138,45,S90,2018
139,18,SANTA FE,2022
140,28,S-CLASS,2024
141,16,SIERRA EV,2025
142,9,SILVERADO EV,2024
143,28,SL-CLASS,2025
144,39,SOLTERRA,2024
145,18,SONATA,2017
146,21,SORENTO,2024
147,21,SOUL,2016
148,21,SOUL EV,2017
149,9,SPARK,2014
150,37,SPECTRE,2025
151,21,SPORTAGE,2025
152,3,SQ6,2025
153,3,SQ8,2024
154,34,TAYCAN,2021
155,2,TONALE,2025
156,14,TRANSIT,2022
157,4,TRANSIT CONNECT ELECTRIC,2011
158,18,TUCSON,2023
159,24,TX,2024
160,45,V60,2024
161,43,VF 8,2024
162,9,VOLT,2013
163,20,WAGONEER S,2024
164,46,WHEEGO,2010
165,20,WRANGLER,2023
166,6,X3,2021
167,6,X5,2024
168,45,XC40,2024
169,45,XC60,2022
170,45,XC90,2023
171,6,XM,2024
172,1,ZDX,2024
173,7,ZEVO,2024
